question_id,question,backend,answer,faithfulness,faith_reason,latency_seconds,cost_usd,model
1,What is TF-IDF and how is it calculated?,ollama,"According to the provided context [Chunk 1], TF-IDF (Term Frequency-Inverse Document Frequency) is a weighting scheme that assigns a weight to each term in a document given by:

tf-idf = tf × idf

where tf is the frequency of the term within the document, and idf is the inverse document frequency, w",5,"The answer accurately and completely reflects the definition, formula, and characteristics of TF-IDF as presented in the provided context, with no unsupported claims or additions.",97.157,0.0,ollama/llama3
2,What is an inverted index and what does it store?,ollama,"Based on the provided context, an inverted index is a data structure used in information retrieval. It stores postings, which are term-document pairs where each posting contains the document ID associated with a specific term.

(Inverted) Index construction and (inverted) index compression are terms",5,The answer accurately defines an inverted index as a data structure storing postings (document IDs associated with terms via postings lists) and correctly cites relevant passages from the provided context.,106.759,0.0,ollama/llama3
3,What are the main components of a Boolean retrieval model?,ollama,"Based on the provided context, specifically Chunk 2, I can answer that:

The main component of a Boolean retrieval model is a binary term-document incidence matrix, which records whether each document (in this case, Shakespeare's plays) contains each word out of all the words used by Shakespeare.",3,"The answer identifies one key component (the binary term-document incidence matrix) that is explicitly mentioned in the context, but it is incomplete as the context does not provide a comprehensive overview of all main components of the Boolean retrieval model, making it partially supported rather than fully comprehensive.",114.474,0.0,ollama/llama3
4,What is precision and recall in information retrieval evaluation?,ollama,"Based on the provided context (Chunk 1 and Chunk 2), I can answer your question.

Precision (P) is defined as the fraction of retrieved documents that are relevant, i.e., Precision = P(relevant retrieved) / (#retrieved items).

Recall (R) is defined as the fraction of relevant documents that are ret",5,"The answer accurately defines both precision and recall using the exact formulas and explanations provided in the context, correctly noting they are set-based measures for unranked retrieval.",139.611,0.0,ollama/llama3
5,What is the vector space model in IR?,ollama,"According to Chunk 1, the vector space model represents each document as a vector with one real-valued component, usually at an tf-idf weight, for each term. The documentspace X, the domain of the classification function γ, is RV.",5,"The answer accurately and directly quotes the context's definition of the vector space model, correctly identifying that documents are represented as vectors with real-valued tf-idf weighted components for each term, and that the document space is R^|V|.",73.76,0.0,ollama/llama3
6,What is stemming and why is it used in IR preprocessing?,ollama,"According to Chunk 3, Stemming usually refers to a crude heuristic process that chops off the ends of words in the hope of achieving this goal correctly most of the time, and often includes the removal of derivational affixes. It is used in IR preprocessing to normalize words and reduce their dimens",3,"The answer accurately defines stemming from the context but adds unsupported claims about 'normalizing words' and 'reducing dimensionality' that are not explicitly stated in the provided context, and the note acknowledges this inference rather than grounding it in the source material.",57.308,0.0,ollama/llama3
7,What is the PageRank algorithm and what was its original purpose?,ollama,"I don't know based on the provided context. The context does not mention the PageRank algorithm or its original purpose. It only provides information about Information Retrieval, web search engines, and algorithms such as HITS and Boolean retrieval systems.",5,"The generated answer correctly identifies that the context does not contain information about the PageRank algorithm's definition or original purpose, accurately reflecting the content limitations.",135.107,0.0,ollama/llama3
8,What is a stop word and how are stop words handled in IR?,ollama,"According to the provided context, a stop word is an extremely common word that would appear to be of little value in helping select documents matching a user need. These words are called stopwords. Stopwords are excluded from the vocabulary entirely by dropping them from the term collection strateg",4,"The answer accurately describes what stop words are and the basic strategy for identifying them, but slightly mischaracterizes the process by saying they are 'discarded' as part of determining the stop list rather than clarifying that they are first identified and then excluded during indexing, and it omits the important modern trend toward using smaller or no stop lists.",119.17,0.0,ollama/llama3
9,What is the BM25 ranking formula?,ollama,"I don't know based on the provided context. The provided context only mentions that machine learning approaches to ranking for ad hoc retrieval were pioneered in (Wongetal.1988), (Fuhr1992), and (Gey1994). There is no specific mention of the BM25 ranking formula.",5,"The generated answer is entirely accurate as the context only references BM25 as 'the BM25 family of ranking functions' without explaining what the formula is, making the answer's claim that the formula is not described in the context correct.",67.863,0.0,ollama/llama3
10,What is query expansion and what is relevance feedback?,ollama,"Based on the provided context, I can answer that:

* Query expansion refers to techniques for expanding or reformulating query terms independently of the query and results returned from it, so that changes in the query wording will cause the new query to match semantically similar terms. (Chunk 1)
*",5,"The answer accurately defines both query expansion and relevance feedback using direct quotes and paraphrases from the provided context, correctly characterizing them as global and local methods respectively for handling synonymy in information retrieval.",155.732,0.0,ollama/llama3
11,Why does BM25 generally outperform TF-IDF on longer documents?,ollama,"I don't know based on the provided context. The context only discusses tf-idf and its limitations, but it doesn't mention BM25 or how it outperforms tf-idf on longer documents.",5,"The answer correctly identifies that the context does not contain information about BM25's performance compared to TF-IDF, which is accurate - the provided context mentions BM25 only briefly in a references section but does not explain its mechanisms or comparative performance on longer documents.",152.104,0.0,ollama/llama3
12,What is the difference between a positional index and a standard inverted index?,ollama,"Based on the provided context, I don't know based on the provided context.",1,"The answer completely avoids providing information that is clearly present in the context, which explains that positional indexes store an entry for each occurrence of a term (affecting space complexity and enabling phrase/proximity searches), whereas standard inverted indexes do not have this capability.",65.823,0.0,ollama/llama3
13,Why is cosine similarity preferred over dot product for document similarity in the vector space model?,ollama,"According to the provided context, the reason why cosine similarity is preferred over dot product for document similarity in the vector space model is not explicitly stated. Therefore, I don't know based on the provided context.",5,"The generated answer correctly identifies that the context does not explicitly state why cosine similarity is preferred over dot product, demonstrating accurate assessment of what information is actually present in the provided material.",93.042,0.0,ollama/llama3
